Name,Phone,International Phone,Address,Website,Google Maps,Rating,Reviews,Latitude,Longitude,Business Status,Matched Keywords,Matched Areas,Types
ALAMIN ELECTRIC BICYCLE STORE,392 733 5656,+39 392 733 5656,"Viale dei Mille, 70, 20129 Milano MI",https://www.facebook.com/share/1Ey7MQtjcA/?mibextid=wwXIfr,https://maps.google.com/?cid=12306358238536917572&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.3,75,45.471354999999996,9.217567299999999,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche; biciclette elettriche,"Milano, Lombardia, Italy",bicycle_store; sporting_goods_store; car_repair; manufacturer; store; point_of_interest; service; establishment
ALAMIN ELECTRIC BICYCLE STORE,392 272 2997,+39 392 272 2997,"Viale Tibaldi, 32, 20136 Milano MI",https://www.facebook.com/share/1Ey7MQtjcA/?mibextid=wwXIfr,https://maps.google.com/?cid=9573026878026232922&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3.8,13,45.4433584,9.1805972,OPERATIONAL,electric bike store; bici elettriche; biciclette elettriche,"Milano, Lombardia, Italy",bicycle_store; car_repair; sporting_goods_store; store; manufacturer; service; point_of_interest; establishment
Amante Casella,011 540641,+39 011 540641,"Corso Regina Margherita, 220, 10144 Torino TO",https://www.amantecasella.it/,https://maps.google.com/?cid=11963293609845787712&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.2,221,45.0826834,7.6664769999999995,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche; biciclette elettriche,"Torino, Piemonte, Italy",bicycle_store; sporting_goods_store; store; manufacturer; point_of_interest; establishment
Askoll Store Milano,02 5518 1685,+39 02 5518 1685,"Via Leopoldo Marangoni, 8, 20124 Milano MI",http://www.askollelectric.com/,https://maps.google.com/?cid=2977283713910965796&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,41,45.4819141,9.199407599999999,OPERATIONAL,bici elettriche; biciclette elettriche,"Milano, Lombardia, Italy",store; service; point_of_interest; establishment
Avatar bike e monopattini,338 350 6180,+39 338 350 6180,"Viale Monte Nero, 27, 20135 Milano MI",http://biciemonopattinimilano.altervista.org/,https://maps.google.com/?cid=3082846027824078934&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.4,118,45.4559784,9.2045072,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche; biciclette elettriche,"Milano, Lombardia, Italy",bicycle_store; sporting_goods_store; manufacturer; store; point_of_interest; establishment
AWS Bici - Bike rental,02 6707 2145,+39 02 6707 2145,"Via Ponte Seveso, 33, 20125 Milano MI",http://awsbici.com/,https://maps.google.com/?cid=3167347077345971384&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,28,45.4898485,9.205106599999999,OPERATIONAL,e-bike rental,"Milano, Lombardia, Italy",point_of_interest; service; establishment
BICI AL TOP SRL,02 3660 1431,+39 02 3660 1431,"Via Mac Mahon, 32, 20155 Milano MI",,https://maps.google.com/?cid=11227805729305443342&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,64,45.490566799999996,9.162673999999999,OPERATIONAL,electric bike store; negozio e-bike; bici elettriche; biciclette elettriche,"Milano, Lombardia, Italy",bicycle_store; sporting_goods_store; point_of_interest; manufacturer; store; establishment
Bici&Radici,02 8341 8589,+39 02 8341 8589,"Via Nicola D'Apulia, 2, 20125 Milano MI",http://www.bicieradici.com/,https://maps.google.com/?cid=9461171899071017807&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,145,45.493409899999996,9.216345,OPERATIONAL,negozio e-bike,"Milano, Lombardia, Italy",bicycle_store; florist; sporting_goods_store; store; bar; manufacturer; point_of_interest; establishment
Bicicleria,338 847 0121,+39 338 847 0121,"Via Valentino Carrera, 84/D, 10146 Torino TO",http://www.instagram.com/bicicleria,https://maps.google.com/?cid=17503065771442540311&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,213,45.0802149,7.6284413,OPERATIONAL,negozio e-bike; bici elettriche; biciclette elettriche,"Torino, Piemonte, Italy",bicycle_store; sporting_goods_store; store; manufacturer; service; point_of_interest; establishment
Biciclette Rossignoli Milano,02 804960,+39 02 804960,"Corso Garibaldi, 71, 20121 Milano MI",http://www.rossignoli.it/,https://maps.google.com/?cid=10191134275700822888&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.4,289,45.4750175,9.1834361,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche; e-bike rental,"Milano, Lombardia, Italy",bicycle_store; sportswear_store; clothing_store; sporting_goods_store; store; manufacturer; service; point_of_interest; establishment
"Biciclettedipaolo - hobby Bike,, SOLO city e mountain bike di QUALITÀ! No e-bike e corsa",338 441 5331,+39 338 441 5331,"Via Ettore Ciccotti, 3, 20161 Milano MI",,https://maps.google.com/?cid=17097245696964582473&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,38,45.5223366,9.1669017,OPERATIONAL,e-bike shop; negozio e-bike; bici elettriche; biciclette elettriche,"Milano, Lombardia, Italy",bicycle_store; sporting_goods_store; manufacturer; store; point_of_interest; service; establishment
Bicierin Ciclofficina con Cucina,334 763 9347,+39 334 763 9347,"Via Principe Tommaso, 26/G, 10127 Torino TO",http://www.bicierin.it/,https://maps.google.com/?cid=10990068700969908383&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,481,45.057085099999995,7.6809285,OPERATIONAL,bici elettriche,"Torino, Piemonte, Italy",bistro; coffee_shop; cafe; food_store; store; restaurant; food; point_of_interest; service; establishment
Bike 2.0,011 620 7018,+39 011 620 7018,"Via Cuneo, 36, 10042 Nichelino TO",https://www.bikeduepuntozero.it/,https://maps.google.com/?cid=13301709114284932132&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,151,45.0043163,7.6609487,OPERATIONAL,negozio e-bike; bici elettriche; biciclette elettriche,"Torino, Piemonte, Italy",sporting_goods_store; bicycle_store; manufacturer; store; point_of_interest; establishment
Bike Center '07,011 959 2702,+39 011 959 2702,"C.so Francia, 100/A, 10098 Rivoli TO",http://www.bike-center.it/,https://maps.google.com/?cid=3482420000333454751&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,67,45.070657,7.5346310999999995,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche,"Torino, Piemonte, Italy",bicycle_store; sporting_goods_store; point_of_interest; manufacturer; service; store; establishment
Bike It! Bellagio,334 975 1604,+39 334 975 1604,"V. Valassina, 103, 22021 Bellagio CO",https://www.bikeitbellagio.com/,https://maps.google.com/?cid=4544542099017413686&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,566,45.9740028,9.261341999999999,OPERATIONAL,e-bike rental,"Milano, Lombardia, Italy",sportswear_store; bicycle_store; sporting_goods_store; tour_agency; travel_agency; clothing_store; manufacturer; point_of_interest; service; store; establishment
Bike Lab,011 207 1376,+39 011 207 1376,"Via Venezia, 11, 10092 Beinasco TO",https://www.bikelab.store/,https://maps.google.com/?cid=6855611341286497987&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,356,45.027453099999995,7.602507699999999,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche; biciclette elettriche,"Torino, Piemonte, Italy",bicycle_store; sporting_goods_store; store; manufacturer; point_of_interest; establishment
"BIKE PIU' riparazione e vendita' Bici, accessori .",347 751 2406,+39 347 751 2406,"Via Renato Martorelli, 8/c, 10155 Torino TO",,https://maps.google.com/?cid=15878244158364016287&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,62,45.0934327,7.693762399999999,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche; biciclette elettriche,"Torino, Piemonte, Italy",bicycle_store; sporting_goods_store; store; manufacturer; point_of_interest; establishment
Bike Tour Milano,02 5810 3464,+39 02 5810 3464,"Alzaia Naviglio Pavese, 44, 20143 Milano MI",https://www.biketourmilano.it/,https://maps.google.com/?cid=9536998892913661845&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,52,45.4470099,9.176538899999999,OPERATIONAL,e-bike rental,"Milano, Lombardia, Italy",tour_agency; travel_agency; point_of_interest; service; establishment
Bike_id,011 247 8594,+39 011 247 8594,"Corso Umbria, 7/A, 10144 Torino TO",https://www.bikeidentity.it/,https://maps.google.com/?cid=14108195757337912891&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.3,6,45.0821927,7.6699835,OPERATIONAL,electric bike store,"Torino, Piemonte, Italy",bicycle_store; sporting_goods_store; store; manufacturer; point_of_interest; establishment
BikeSquare Torino,0173 199 6118,+39 0173 199 6118,"Via Madama Cristina, 21, 10125 Torino TO",https://ebike.bikesquare.eu/torino,https://maps.google.com/?cid=9984200778932362227&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.4,41,45.0573639,7.6828294999999995,OPERATIONAL,biciclette elettriche; e-bike rental,"Torino, Piemonte, Italy",point_of_interest; service; establishment
Bikethecity® Milan Bike Tours,333 631 5730,+39 333 631 5730,"Via Vetere, 11, 20123 Milano MI",https://www.bikethecity.it/,https://maps.google.com/?cid=11631209927746393513&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,513,45.456288900000004,9.1813668,OPERATIONAL,e-bike rental,"Milano, Lombardia, Italy",tour_agency; travel_agency; point_of_interest; service; establishment
BIKEyourselfmilano - Top Italian Bike,348 711 0068,+39 348 711 0068,"Via Fratelli Bronzetti, 9, 20129 Milano MI",https://www.bikeyourselfmilano.it/,https://maps.google.com/?cid=271948628612778528&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.3,81,45.4666359,9.2153175,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche; biciclette elettriche,"Milano, Lombardia, Italy",bicycle_store; sportswear_store; clothing_store; sporting_goods_store; store; manufacturer; service; point_of_interest; establishment
Blusky Mob Srl,011 411 3597,+39 011 411 3597,"Via Nicomede Bianchi, 52, 10146 Torino TO",https://bluskymob.com/,https://maps.google.com/?cid=9110522360263828253&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,143,45.0820277,7.6336436999999995,OPERATIONAL,e-bike shop; electric bike store; bici elettriche; biciclette elettriche,"Torino, Piemonte, Italy",car_repair; point_of_interest; service; store; establishment
Bmz Bikes S.n.c.,02 8905 9440,+39 02 8905 9440,"Via Goito, 5, 20121 Milano MI",https://bmzbikes.it/,https://maps.google.com/?cid=12796682351879965863&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,76,45.4744477,9.188913699999999,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche,"Milano, Lombardia, Italy",bicycle_store; sporting_goods_store; store; manufacturer; point_of_interest; establishment
Boeris Bikes,011 341112,+39 011 341112,"Strada Comunale di Mirafiori, 2, 10135 Torino TO",https://www.boeris.eu/,https://maps.google.com/?cid=5674122028894665564&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,252,45.0148581,7.627231699999999,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche; biciclette elettriche,"Torino, Piemonte, Italy",bicycle_store; sporting_goods_store; store; manufacturer; service; point_of_interest; establishment
Brompton Junction,02 3658 7670,+39 02 3658 7670,"Via Melzo, 36, 20129 Milano MI",https://www.bikingdays.com/,https://maps.google.com/?cid=17737638900417709297&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,108,45.4759092,9.2071364,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche; biciclette elettriche; e-bike rental,"Milano, Lombardia, Italy",bicycle_store; sporting_goods_store; manufacturer; store; point_of_interest; service; establishment
Brompton Junction Torino,011 020 6297,+39 011 020 6297,"Via Duchessa Jolanda, 7c, 10138 Torino TO",https://bromptonjunctiontorino.com/,https://maps.google.com/?cid=12500689944309405519&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,156,45.0730955,7.664430200000001,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche; biciclette elettriche,"Torino, Piemonte, Italy",bicycle_store; sporting_goods_store; store; manufacturer; point_of_interest; establishment
Centrale e-bike,320 143 4279,+39 320 143 4279,"Via Tonale, 18, 20125 Milano MI",https://www.facebook.com/Sikder-E-Bike-store-452186475176002/,https://maps.google.com/?cid=5327250054461491280&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.4,16,45.4890304,9.2027521,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche; biciclette elettriche,"Milano, Lombardia, Italy",bicycle_store; sporting_goods_store; car_repair; manufacturer; store; point_of_interest; service; establishment
Cicli Bergamin,011 385 7879,+39 011 385 7879,"Via Paolo Braccini, 85, 10141 Torino TO",http://www.ciclibergamin.it/,https://maps.google.com/?cid=12670117551928085920&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.2,124,45.0603044,7.647375200000001,OPERATIONAL,electric bike store; negozio e-bike,"Torino, Piemonte, Italy",bicycle_store; sporting_goods_store; store; manufacturer; service; point_of_interest; establishment
Cicli Cogo Bike Shop,351 412 8110,+39 351 412 8110,"Via Matilde Serao, 14, 10141 Torino TO",,https://maps.google.com/?cid=11560640909761408187&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,78,45.0648119,7.633493799999999,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche; biciclette elettriche,"Torino, Piemonte, Italy",bicycle_store; sporting_goods_store; point_of_interest; manufacturer; service; store; establishment
Cicli Esposito,02 539 0139,+39 02 539 0139,"Via Carlo de Angeli, 3, 20141 Milano MI",http://www.cicliesposito.it/,https://maps.google.com/?cid=15816379268772710129&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.2,191,45.4431629,9.1958772,OPERATIONAL,electric bike store; negozio e-bike; biciclette elettriche,"Milano, Lombardia, Italy",bicycle_store; sportswear_store; sporting_goods_store; clothing_store; point_of_interest; service; manufacturer; store; establishment
Cicli Masi Milano,392 671 8152,+39 392 671 8152,"Via Arona, 19/int. 10, 20149 Milano MI",https://www.ciclimasimilano.com/,https://maps.google.com/?cid=13893569081396130402&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,10,45.4808362,9.1572552,OPERATIONAL,e-bike shop; electric bike store,"Milano, Lombardia, Italy",bicycle_store; sporting_goods_store; store; manufacturer; point_of_interest; establishment
Ciclicoss bottega storica di Milano,02 7010 2358,+39 02 7010 2358,"Via Canaletto, 1, 20133 Milano MI",http://www.ciclicoss.it/,https://maps.google.com/?cid=13598989812256662863&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.3,117,45.470146299999996,9.227508499999999,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche; biciclette elettriche,"Milano, Lombardia, Italy",bicycle_store; sporting_goods_store; store; manufacturer; point_of_interest; establishment
Ciclitorino | Dësgenà,331 151 8146,+39 331 151 8146,"Via Marco Polo, 42, 10129 Torino TO",https://tour.ciclitorino.com/,https://maps.google.com/?cid=9445379411670592479&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,38,45.0604502,7.6585301,OPERATIONAL,e-bike rental,"Torino, Piemonte, Italy",bicycle_store; sporting_goods_store; store; manufacturer; service; point_of_interest; establishment
CLOUD STORE,375 745 1391,+39 375 745 1391,"Via Carlo Farini, 52, 20159 Milano MI",,https://maps.google.com/?cid=17477106878084167229&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,19,45.4919007,9.1844655,OPERATIONAL,e-bike shop; biciclette elettriche,"Milano, Lombardia, Italy",bicycle_store; sporting_goods_store; manufacturer; store; point_of_interest; service; establishment
Club Billy monopattino riparazioni monopattino bici elettrica vendita nuovo e usato,349 704 5250,+39 349 704 5250,"Corso Vercelli, 140 bis/A, 10155 Torino TO",,https://maps.google.com/?cid=9399295081065416894&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,158,45.097639,7.6926383000000005,OPERATIONAL,bici elettriche; biciclette elettriche,"Torino, Piemonte, Italy",service; point_of_interest; establishment
Cobra Bici E monopattino elettrici,389 638 4965,+39 389 638 4965,"Via Stradella, 46, 10147 Torino TO",http://232.62.29.197/,https://maps.google.com/?cid=3092393869532394790&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.2,5,45.0929303,7.676334899999999,OPERATIONAL,biciclette elettriche,"Torino, Piemonte, Italy",bicycle_store; sporting_goods_store; manufacturer; point_of_interest; store; establishment
Cube Store Torino-Santena,011 1922 7280,+39 011 1922 7280,"Via Asti, 1, 10026 Santena TO",https://www.cubestoretorinosantena.com/,https://maps.google.com/?cid=13291602015958982403&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,455,44.9626521,7.778731799999999,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche; biciclette elettriche,"Torino, Piemonte, Italy",bicycle_store; sporting_goods_store; point_of_interest; manufacturer; store; establishment
Cusati Bike,011 324 8810,+39 011 324 8810,"Via Buenos Aires, 78/e, 10137 Torino TO",http://www.cusatibikeshop.it/,https://maps.google.com/?cid=9107979237925981105&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,148,45.037942699999995,7.6397374,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche; biciclette elettriche,"Torino, Piemonte, Italy",bicycle_store; sporting_goods_store; store; manufacturer; point_of_interest; establishment
CYCLE Turin,346 080 8636,+39 346 080 8636,"Via S. Secondo, 31/F, 10128 Torino TO",https://www.cycle.eco/couriers/italy,https://maps.google.com/?cid=11048146147618522597&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,39,45.058534699999996,7.672866699999999,OPERATIONAL,e-bike rental,"Torino, Piemonte, Italy",service; point_of_interest; establishment
Decathlon Cairoli Service Point - Ciclofficina,02 8050 9755,+39 02 8050 9755,"Foro Buonaparte, 76, 20121 Milano MI",https://www.decathlon.it/store-view/negozio-sport-cairoli-service-point-ciclofficina-0070257002570,https://maps.google.com/?cid=16493103260598008114&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3.6,14,45.468790299999995,9.182348,OPERATIONAL,e-bike rental,"Milano, Lombardia, Italy",sporting_goods_store; bicycle_store; manufacturer; point_of_interest; service; store; establishment
Decathlon Milano Cairoli,02 8050 9755,+39 02 8050 9755,"Foro Buonaparte, 74-76, 20121 Milano MI",https://www.decathlon.it/store-view/negozio-sport-milano-cairoli-0070034200342,https://maps.google.com/?cid=11099271191676473830&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.1,12149,45.468560599999996,9.1823868,OPERATIONAL,e-bike rental,"Milano, Lombardia, Italy",sporting_goods_store; sportswear_store; bicycle_store; clothing_store; manufacturer; food_store; food; point_of_interest; service; store; establishment
Dedonato,011 771 0110,+39 011 771 0110,"Corso Umbria, 47, 10144 Torino TO",https://ciclidedonato.it/,https://maps.google.com/?cid=10169030507433218687&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,266,45.086675799999995,7.6660341999999995,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche; biciclette elettriche,"Torino, Piemonte, Italy",bicycle_store; sporting_goods_store; store; manufacturer; service; point_of_interest; establishment
Detto Pietro Store,02 2416 7864,+39 02 2416 7864,"Via Lodovico Settala, 3, 20124 Milano MI",http://www.dettopietro.com/,https://maps.google.com/?cid=14694920167107145178&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,142,45.4772252,9.2030461,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche; biciclette elettriche,"Milano, Lombardia, Italy",bicycle_store; sporting_goods_store; store; manufacturer; point_of_interest; establishment
E BICI MILANO,350 911 4205,+39 350 911 4205,"Vle Andrea Doria, 30, 20124 Milano MI",,https://maps.google.com/?cid=7784392441701872380&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,3,45.4854838,9.2125871,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche; biciclette elettriche,"Milano, Lombardia, Italy",bicycle_store; sporting_goods_store; manufacturer; store; point_of_interest; establishment
E-BIKE di lin,334 616 3234,+39 334 616 3234,"Via Mac Mahon, 28, 20155 Milano MI",https://engwe-bikes-eu.com/,https://maps.google.com/?cid=6327452830250903808&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.1,8,45.4902197,9.1630729,OPERATIONAL,electric bike store,"Milano, Lombardia, Italy",point_of_interest; service; establishment
E-Bike Travel Milano,335 635 3411,+39 335 635 3411,"Via Giovanni da Procida, 28, 20149 Milano MI",,https://maps.google.com/?cid=2124580804989894259&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,13,45.4829953,9.1582442,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche; biciclette elettriche; e-bike rental,"Milano, Lombardia, Italy",bicycle_store; sporting_goods_store; manufacturer; store; point_of_interest; service; establishment
E-Garage - Riparazione e vendita biciclette e monopattini elettrici,393 578 2459,+39 393 578 2459,"Via Felice Casati, 3, 20124 Milano MI",https://www.venditamonopattinielettricimilano.it/,https://maps.google.com/?cid=10137140049655634372&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.3,29,45.477264999999996,9.2066872,OPERATIONAL,bici elettriche; biciclette elettriche,"Milano, Lombardia, Italy",service; point_of_interest; establishment
e.Bike Rent Collegno,338 918 3452,+39 338 918 3452,"Via Fratelli Villani, 25/C, 10093 Collegno TO",https://ebikerentcollegno.com/,https://maps.google.com/?cid=15868845731240526700&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,124,45.070960299999996,7.5855220999999995,OPERATIONAL,e-bike shop; electric bike store; negozio e-bike; bici elettriche; biciclette elettriche; e-bike rental,"Torino, Piemonte, Italy",bicycle_store; sporting_goods_store; store; manufacturer; service; point_of_interest; establishment
Ebike Valle Intelvi,338 451 2989,+39 338 451 2989,"Via Provinciale, Frazione di, 30, 22023 San Fedele Intelvi CO",https://www.ebikevalleintelvi.it/,https://maps.google.com/?cid=10352184625080969257&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,220,45.9660339,9.0805247,OPERATIONAL,e-bike rental,"Milano, Lombardia, Italy",bicycle_store; sporting_goods_store; manufacturer; point_of_interest; service; store; establishment
